Output Areas Code,HHD_dep_education_PC,HHD_dep_employment_PC,HHD_dep_health_PC,HHD_dep_housing_PC
E00053396,0.1506849315068493,0.07534246575342465,0.28378378378378377,0.03424657534246575
E00053397,0.26851851851851855,0.05555555555555555,0.35514018691588783,0.10185185185185185
E00053398,0.2887323943661972,0.055944055944055944,0.3380281690140845,0.06338028169014084
E00053399,0.16083916083916083,0.04827586206896552,0.2896551724137931,0.013793103448275862
E00053400,0.1652892561983471,0.024793388429752067,0.25203252032520324,0.04132231404958678
E00053401,0.12949640287769784,0.0,0.23741007194244604,0.02158273381294964
E00053402,0.16153846153846155,0.038461538461538464,0.23846153846153847,0.0
E00053403,0.104,0.056,0.2204724409448819,0.031496062992125984
E00053404,0.06547619047619048,0.041666666666666664,0.19642857142857142,0.017857142857142856
E00053405,0.18045112781954886,0.07575757575757576,0.2878787878787879,0.030303030303030304
